,dc.keywords
0,data science
1,semantic publishing
2,scientometrics
3,bibliometrics
4,science of science
5,library and information sciences
6,psychology
7,cognitive science
8,physical sciences
9,communication and media studies
10,museum studies
11,computer science
12,sociology
13,publishing
14,openaire
15,open science
16,open science infrastructures
17,european open science cloud
18,computer science
19,citizen curation
20,digital humanities
21,ontologies
22,wikicite
23,open citations
24,opencitations data model
25,wikipedia citations
26,digital cultural heritage
27,digital twins
28,photogrammetry
29,preservation of temporary exhibitions
30,structured light scanning
31,scientometrics
32,open access
33,bibliometrics
34,citation-based metrics
35,citation networks
36,academic evaluation
37,open science
38,dimensions of proximity
39,provenance
40,change-tracking
41,rdf
42,digital humanities
43,author name disambiguation
44,bibliographic data
45,citation data
46,clustering
47,knowledge graph embeddings
48,open citations
49,bibliographic databases
50,open citations
51,citation indexes
52,digital humanities
53,humanities research
54,opencitations
55,python
56,rdf
57,rdflib
58,citation data
59,bibliographic metadata
60,spar ontologies
61,data collection
62,scientific misconduct
63,citation analysis
64,retraction
65,topic modeling
66,humanities
67,digital humanities
68,computational thinking
69,master degree
70,phd degree
71,university of bologna
72,rest api
73,opencitations
74,citation data
75,sparql endpoint
76,rdf
77,linked data
78,triplestore
79,ramose
80,data access
81,query language
82,open science infrastructures
83,opencitations
84,fair
85,posi
86,invalid citations
87,incorrect doi
88,open citations
89,crossref
90,opencitations
91,cultural heritage
92,semantic web
93,citizen curation
94,semantic publishing
95,scholarly metadata
96,provenance
97,change-tracking
98,open science
99,bibliographic data
100,open bibliographic repositories
101,open data
102,opencitations
103,open citation data
104,open bibliographic metadata
105,semantic web
106,opencitations
107,citation data
108,open science infrastructure
109,references extraction
110,references parsing
111,structured citation data
112,citation indexing
113,open citations
114,bibliographic information retrieval
115,open research infrastructure
116,bibliographic references
117,citations
118,publication metadata
119,publication types
120,citation behaviours
121,change-tracking
122,opencitations
123,provenance
124,rdf
125,time-traversal query
126,research data management
127,fair principles
128,survey
129,humanities
130,grounded theory approach
131,humanities
132,topic modeling
133,retraction
134,citation analysis
135,retraction
136,science of science
137,topic modeling
138,bibliographic data
139,data science
140,digital libraries
141,machine learning
142,bibliographic metadata
143,bibliographic references
144,frbr
145,in-text reference pointers
146,information representation
147,reference styles
148,topic modelling
149,mitao
150,tool
151,topic modeling
152,natural language processing
153,medieval manuscripts ontology
154,memo
155,ontology engineering
156,medieval manuscripts
157,progetto irnerio
158,cultural heritage
159,citizen curation
160,spice
161,text analysis
162,discourse analysis
163,topics
164,frames
165,discourse
166,themes
167,topic modelling
168,visualization
169,mitao
170,python
171,book citation
172,citation analysis
173,coci
174,open citation data
175,opencitations
176,scholarly communication
177,open citations
178,open science
179,in-text citations
180,bibliographic metadata
181,infrastructure service
182,opencitations
183,opencitations corpus
184,opencitations data model
185,opencitations index
186,opencitations meta
187,open citations
188,open citation identifier
189,open scholarship
190,scholarly infrastructure organization
191,digital humanities
192,scientometrics
193,citation analysis
194,ontology reuse
195,ontology selection
196,ontology integration
197,open citations
198,scholarly data
199,data model
200,science of science
201,self-citations
202,longitudinal study
203,scientific habilitation
204,citizen curation
205,interpretation
206,museum information system
207,reflection
208,user engagement
209,open citations
210,opencitations
211,coci
212,croci
213,altmetrics
214,bibliometric indicators
215,correlation analysis
216,research quality
217,semantic publishing
218,visual analytics
219,ontologies
220,data mining
221,scholarly data
222,oscar
223,opencitations
224,occ
225,coci
226,sparql
227,free-text search
228,scholarly data
229,advanced search
230,index terms—document visualization
231,information interfaces and presentation
232,scholarly articles
233,structural patterns
234,sunburst
235,asn
236,research evaluation
237,open citations
238,open data
239,academic assessment
240,asn
241,data processing
242,informetrics
243,machine learning
244,national scientific habilitation
245,predictive models
246,research evaluation
247,science of science
248,scientometrics
249,crossref citation data
250,open citation data
251,open citations
252,rdf
253,reproducible bibliometrics
254,entrepreneurship
255,data science
256,university-industry collaborations
257,technology innovation management
258,scientometrics
259,strategy
260,business performance analytics
261,open citation data
262,opencitations
263,citation data curation
264,open science
265,semantic publishing
266,open citation data
267,opencitations
268,citation data curation
269,open science
270,semantic publishing
271,linked open data visualisation
272,rdf
273,semantic web
274,sparql
275,software
276,citation functions
277,citations
278,semantic publishing
279,theoretical computer science
280,computer science (all)
281,free-text search
282,opencitations
